bug,entropy,frequency,version_cnt,up_time
113548,0.6121699109957027,2588,19,0.0
108552,0.37887443712432795,50,12,0.0
107887,0.5292191716712146,7059,32,0.0
98202,0.5743608326828799,719,20,0.0
103823,0.6208672756579539,39034,28,0.0
111077,0.4619044570296578,52,14,0.0
112310,0.5271253019565295,707,11,0.0
107527,0.563332299261986,9063,28,0.0
113097,0.5327032086522212,269,19,0.0
109054,0.6549143013266017,38736,15,0.0
106131,0.6302430449101052,9773,29,0.0
105410,0.3858441429644334,50,3,0.0
107729,0.6205884717873412,765,22,0.0
98868,0.4298624546518699,100,8,0.0
103452,0.6359720499792211,21914,35,0.0
105022,0.6289533138014004,32974,23,0.0
103504,0.563332299261986,9063,28,0.0
107297,0.6198852916779711,2664,14,0.0
110447,0.6409970901874827,36322,23,0.0
106583,0.25234110245056407,4959,26,0.0
108602,0.3914939876790899,55,16,0.0
101327,0.6208672756579539,39034,28,0.0
105888,0.6549143013266017,38736,15,0.0
103613,0.45290431687334487,50,5,0.0
105546,0.6289533138014004,32974,23,0.0
107799,0.35276006808613897,50,17,0.0
105522,0.6208672756579539,39034,28,0.0
112169,0.6338888658620153,28887,32,0.0
104969,0.6647782798252792,8953,18,0.0
104535,0.6501197016642938,10467,14,0.0
104639,0.5540294733596289,264,18,0.0
107023,0.6549143013266017,38736,15,0.0
95579,0.6174043346162628,1321,28,0.0
107550,0.6549143013266017,38736,15,0.0
104034,0.4343824657385115,50,5,0.0
99626,0.432002899916546,7260,27,0.0
106020,0.5909308773263657,1653,18,0.0
108153,0.5750457456508345,19879,25,0.0
107226,0.5303797187137829,371638,28,0.0
105287,0.5303797187137829,371638,28,0.0
103809,0.6359720499792211,21914,35,0.0
107732,0.44681146496747326,51,16,0.0
111173,0.3276758548898725,49,11,0.0
104462,0.4343824657385115,50,5,0.0
99837,0.45364450990875316,51,11,0.0
103340,0.45550072266792185,1137,15,0.0
108881,0.6359720499792211,21914,35,0.0
107730,0.6359720499792211,21914,35,0.0
104402,0.6622724696203679,11878,32,0.0
108339,0.5253727776411202,857,17,0.0
112282,0.5292191716712146,7059,32,0.0
106282,0.490879842564779,1097,19,0.0
111200,0.4619044570296578,52,14,0.0
107781,0.6121699109957027,2588,19,0.0
106722,0.42300878427494526,50,16,0.0
106724,0.4619044570296578,52,14,0.0
107427,0.6142086395420129,2172,23,0.0
104870,0.6175925540623548,1698,25,0.0
113657,0.4296378287469936,50,14,0.0
100692,0.5438096066832312,9560,22,0.0
104967,0.44330746022665607,51,10,0.0
103634,0.6338888658620153,28887,32,0.0
108324,0.6359720499792211,21914,35,0.0
104234,0.39929818476458334,51,16,0.0
105129,0.40357068979425725,35754,17,0.0
106526,0.6359720499792211,21914,35,0.0
105353,0.2757600815999149,50,8,0.0
100823,0.6359720499792211,21914,35,0.0
109337,0.5871715537957339,20233,31,0.0
106220,0.664198092177226,23815,27,0.0
107474,0.5540294733596289,264,18,0.0
108982,0.6359720499792211,21914,35,0.0
111793,0.6359720499792211,21914,35,0.0
111522,0.5540294733596289,264,18,0.0
100681,0.664198092177226,23815,27,0.0
106161,0.5595499659169196,250,21,0.0
111974,0.5123956795263476,727,16,0.0
105118,0.6549143013266017,38736,15,0.0
102247,0.41713485362359365,50,14,0.0
108930,0.6200093215560264,535,21,0.0
103927,0.5903789459008567,1377,21,0.0
103926,0.6121699109957027,2588,19,0.0
112637,0.6338888658620153,28887,32,0.0
105055,0.44330746022665607,51,10,0.0
